index,name,platform,rating,release_year
991,Metroid II: Return of Samus,GB,E,1991
996,Sonic the Hedgehog 3,GEN,E,1994
1001,2 Games in 1 Double Pack: The Incredibles / Finding Nemo: The Continuing Adventures,GBA,NaN,NaN
1006,Pro Evolution Soccer,PS2,NaN,2001
1011,Yoshi,NES,NaN,1992
1019,Star Wars Episode I: The Phantom Menace,PS,T,1999
1034,Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City,PS2,NaN,NaN
1042,Toy Story 2: Buzz Lightyear to the Rescue!,PS,NaN,NaN
1046,Kanshuu Nippon Joushikiryoku Kentei Kyoukai: Imasara Hito ni wa Kikenai Otona no Joushikiryoku Training DS,DS,NaN,NaN
1049,Call of Duty: Black Ops 3,X360,NaN,NaN
1053,Super Puyo Puyo,SNES,NaN,NaN
1061,Jampack Winter '99,PS,NaN,NaN
1072,World Championship Poker: Featuring Howard Lederer - All In,PS2,T,2006
1073,NFL GameDay 98,PS,E,1997
1076,Yoshi's Cookie,GB,NaN,NaN
1087,Disney's DuckTales,NES,NaN,NaN
1090,PGR: Project Gotham Racing 2,XB,NaN,NaN
1099,Street Fighter II': Special Champion Edition,GEN,NaN,NaN
1115,Dragon Quest V: Tenkuu no Hanayome,PS2,NaN,NaN
1121,Ghosts 'n Goblins,NES,NaN,1986
1123,NBA Live 06 (All region sales),PS2,NaN,NaN
1136,Tony Hawk's American Wasteland (Old all region sales),PS2,NaN,NaN
1146,Yu-Gi-Oh! Duel Monsters,GB,NaN,NaN
1152,Dollar Dash,PS2,NaN,2013
1154,River Raid,2600,NaN,1982
1171,Jampack Summer 2K,PS,NaN,NaN
1192,Donkey Kong Classics,NES,NaN,1988
1193,Hannah Montana: Music Jam,DS,E,2007
1197,Dragon Quest Monsters 2,GB,NaN,NaN
1216,Ratchet & Clank (2016),PS4,NaN,NaN
1232,NASCAR 98,PS,E,1997
1234,F1 Race,NES,NaN,1984
1244,Puzzle & Dragons,3DS,NaN,2012
1260,Ninja Hattori Kun: Ninja wa Shuugyou Degogiru no Maki,NES,NaN,NaN
1275,Doom (2016),PS4,NaN,NaN
1278,Wario Land II,GB,E,1998
1279,Nintendo World Cup,NES,NaN,1990
1302,Dragon Quest VII: Warriors of Eden,3DS,NaN,NaN
1307,New Play Control! Mario Power Tennis,Wii,NaN,NaN
1317,Tamagotchi,GB,E,1997
1318,4 Nin uchi Mahjong,NES,NaN,1984
1319,Dragon Ball Z,SNES,NaN,1993
1320,Game de Hakken!! Tamagotchi 2,GB,NaN,NaN
1321,Namco Museum 64,N64,E,1999
1324,Tony Hawk's American Wasteland (Weekly american sales),PS2,NaN,NaN
1339,SNK vs. Capcom: The Match of the Millennium,PSP,T,1999
1340,Disney's DuckTales,GB,NaN,NaN
1350,NBA Live 06 (Weekly american sales),PS2,NaN,NaN
1355,Pro Yakyuu Family Stadium '87,NES,NaN,NaN
1359,Resident Evil (Remake),GC,NaN,NaN
1365,Disney's The Lion King,GEN,NaN,NaN
1369,Knockout Kings 2000,PS,T,1999
1370,Gran Turismo 4 Prologue,PS2,NaN,2003
1379,2Xtreme,PS,E,1996
1388,Inazuma Eleven 2,DS,NaN,NaN
1399,Bravely Default: Flying Fairy,3DS,NaN,NaN
1410,A Collection of Activision Classic Games for the Atari 2600,PS,E,1998
1415,Pocket Monsters Stadium,N64,NaN,1998
1424,Gradius,NES,NaN,1986
1425,Dragon Quest III: Soshite Densetsu e...,SNES,NaN,NaN
1429,Dance Dance Revolution (Japan),PS,NaN,NaN
1441,SingStar Party,PS2,NaN,2004
1466,Yokai Watch 3,3DS,NaN,NaN
1467,Ratchet & Clank: Up Your Arsenal (Weekly american sales),PS2,NaN,NaN
1473,Triple Play 2001,PS,E,2000
1482,Gyromite,NES,NaN,1985
1483,TOCA 2: Touring Cars,PS,NaN,NaN
1488,Mega Man Battle Network 4: Red Sun / Blue Moon,GBA,NaN,NaN
1492,The ICO & Shadow of the Colossus Collection,PS3,NaN,NaN
1493,TNN Motor Sports Hardcore 4x4,PS,E,1996
1501,Pitfall II: Lost Caverns,2600,NaN,1984
1506,Adventure,2600,NaN,1980
1512,Romancing SaGa 3,SNES,NaN,1995
1520,Mega Man Battle Network 3 Blue / White Version,GBA,NaN,NaN
1521,Resident Evil Zero,GC,NaN,NaN
1534,Midnight Club 3: DUB Edition (America weekly sales),PS2,NaN,NaN
1539,Yakuman,GB,NaN,1989
1573,Devil Dice,PS,E,1998
1575,Brian Lara Cricket,PS,NaN,1998
1576,Championship Manager 03/04,PC,NaN,NaN
1585,Combat,2600,E,2001
1588,Dragon Ball: Daimaou Fukkatsu,NES,NaN,NaN
1589,Gegege no Kitarou 2: Youkai Gundan no Chousen,NES,NaN,NaN
1590,Reel Fishing,PS,E,1997
1608,Tetris 2 (All region sales),GB,NaN,NaN
1612,Transformers: Autobots / Decepticons,DS,NaN,NaN
1621,Disney's Tarzan / Disney's Aladdin in Nasira's Revenge / Disney's The Emperor's New Groove Action Game,PS,NaN,NaN
1624,Kirby Tilt 'n' Tumble,GB,E,2001
1641,Game & Watch Gallery 3,GB,E,1999
1642,Parfait: Chocolat Second Style,PS2,NaN,NaN
1644,Chocobo no Fushigi Dungeon,PS,NaN,NaN
1661,The Magical Quest starring Mickey Mouse,SNES,NaN,NaN
1662,Dragon Quest IV: Michibikareshi Monotachi,PS,NaN,2001
1667,Shrek / Shrek 2 2-in-1 Gameboy Advance Video,GBA,NaN,NaN
1669,Test Drive 4,PS,E,1997
1671,World Soccer Winning Eleven 9 (JP & Others sales),PSP,NaN,NaN
1674,FIFA Soccer 07,PSP,E,2006
1680,SolarStriker,GB,NaN,NaN
1681,TwinBee,NES,NaN,1986
1682,Ganbare Goemon! Karakuri Douchuu,NES,NaN,NaN
