index,name,platform,rating,release_year
8212,Teen Titans,GBA,NaN,NaN
8250,Trauma Team,Wii,T,2010
8260,Backbreaker,PS3,E,2010
8319,James Cameron's Dark Angel,PS2,T,2002
8364,Sword of the Samurai,PS2,NaN,NaN
8500,Splatterhouse,PS3,M,2010
8547,Alone in the Dark: The New Nightmare,PS,M,2001
8632,Vegas Party,Wii,NaN,2009
8680,Jurassic Park: The Game,X360,T,2011
8740,Home Run,2600,NaN,1978
8884,eJay Clubworld,PS2,NaN,2003
8918,All-Star Baseball 2005,XB,E,2004
9043,Bejeweled 3,PS3,E,2010
9119,Our House Party!,Wii,NaN,2009
9151,WCW Backstage Assault,N64,T,2000
9218,Bejeweled 3,X360,E,2010
9293,Disney's Cinderella: Magical Dreams,GBA,NaN,2005
9380,Transworld Surf,XB,T,2001
9485,Street Fighter IV,PC,NaN,2009
9516,Nintendo Puzzle Collection,GC,NaN,2003
9664,Charm Girls Club: My Fashion Mall,DS,E,2009
9703,Record of Agarest War Zero,PS3,T,2009
9706,Rocksmith,PC,T,2012
9738,Super Robot Wars OG Saga: Masou Kishin II - Revelation of Evil God,PSP,NaN,NaN
9761,Saru! Get You! Million Monkeys,PS2,NaN,NaN
9817,Street Hoops,GC,T,2002
9827,WRC: FIA World Rally Championship,X360,,2010
9830,Godzilla: Destroy All Monsters Melee,XB,T,2003
9855,The Daring Game for Girls,DS,E,2010
9876,Major League Baseball 2K6,PSP,E,2006
10050,Star Trek: Conquest,PS2,E,2007
10258,GiFTPiA,GC,NaN,2003
10317,Happy Feet Two,PS3,E,2011
10465,Disney's Chicken Little: Ace In Action,Wii,NaN,2006
10486,Atsumare! Power Pro Kun no DS Koushien,DS,NaN,NaN
10612,My Healthy Cooking Coach,DS,NaN,2009
10686,Happy Feet Two,DS,NaN,NaN
10764,Luminous Arc 2 (JP sales),DS,NaN,NaN
10790,Happy Feet Two,X360,E,2011
10837,Egg Monster Hero,DS,NaN,NaN
10993,The Daring Game for Girls,Wii,E,2010
11000,Demon Chaos,PS2,NaN,2005
11016,Samurai Shodown Anthology,PSP,NaN,2009
11092,Action Man-Operation Extreme,PS,NaN,NaN
11119,Super Puzzle Fighter II,GBA,NaN,2003
11338,Charm Girls Club: My Fashion Show,DS,NaN,NaN
11377,Face Racers: Photo Finish,3DS,E,2012
11433,Zero: Tsukihami no Kamen,Wii,NaN,2008
11455,The Hidden,3DS,NaN,2011
11550,Get Fit with Mel B,X360,,2010
11565,Rock Revolution,Wii,T,2008
11622,Happy Feet Two,Wii,NaN,NaN
11790,Mega Man Battle Network: Operation Shooting Star,DS,NaN,NaN
11832,Smashing Drive,GC,T,2002
11925,Port Royale 3,PS3,T,2012
11943,Dream Trigger 3D,3DS,E,2011
11954,Dead Island: Riptide,PC,M,2013
11957,Yoostar on MTV,X360,T,2011
12003,Tornado,DS,NaN,NaN
12011,McFarlane's Evil Prophecy,PS2,M,2004
12046,Drake of the 99 Dragons,XB,T,2003
12209,Build-A-Bear Workshop: Friendship Valley,Wii,NaN,NaN
12217,Rayman Arena,XB,E,2002
12221,Port Royale 3,X360,T,2012
12235,National Geographic Challenge!,X360,NaN,NaN
12241,Alex Rider: Stormbreaker,DS,NaN,2006
12524,Chou Soujuu Mecha MG,DS,NaN,NaN
12568,Prinny: Can I Really Be The Hero? (US sales),PSP,NaN,NaN
12584,Combat Elite: WWII Paratroopers,PS2,T,2005
12718,Flip's Twisted World,Wii,E,2010
12734,Mobile Ops: The One Year War,X360,NaN,2008
12784,Tom Clancy's Rainbow Six: Critical Hour,XB,M,2006
12880,Jewel Link Chronicles: Mountains of Madness,DS,NaN,NaN
12896,Captain America: Super Soldier,Wii,T,2011
